medida,valor
n,5223.0
media,-5.964113923684195e-05
mediana,-9.707395387037465e-05
moda,-0.09258702807591401
q1,-0.006607521098399793
q3,0.006727606558018739
iqr,0.013335127656418533
varianza_muestral,0.00016901597204993353
desvio_estandar_muestral,0.013000614295099041
minimo,-0.09258702807591401
maximo,0.12133548856910403
rango,0.21392251664501805
coeficiente_variacion,-217.9806499582793
asimetria,0.009698184712498389
curtosis,5.4428263462534066
limite_outlier_inferior,-0.026610212583027593
limite_outlier_superior,0.02673029804264654
cantidad_outliers_iqr,253.0
