nivel_confianza,media,limite_inferior,limite_superior,amplitud,metodo
0.9,9.209496252004346,9.174685740897356,9.244306763111336,0.0696210222139813,t de Student
0.95,9.209496252004346,9.168014713892385,9.250977790116307,0.08296307622392374,t de Student
0.99,9.209496252004346,9.154972978404192,9.2640195256045,0.10904654720030864,t de Student
