medida,valor
n,5223.0
media,5.964113923684166e-05
mediana,9.707395387037464e-05
moda,-0.1213354885691035
q1,-0.0067276065580187
q3,0.00660752109839975
iqr,0.01333512765641845
varianza_muestral,0.00016901597204993271
desvio_estandar_muestral,0.01300061429509901
minimo,-0.1213354885691035
maximo,0.092587028075914
rango,0.2139225166450175
coeficiente_variacion,217.98064995827983
asimetria,-0.00969818471249588
curtosis,5.4428263462534545
limite_outlier_inferior,-0.026730298042646376
limite_outlier_superior,0.026610212583027426
cantidad_outliers_iqr,253.0
