lag,autocorrelacion
0,1.0
1,-0.19168409757658364
2,-0.05705884228408197
3,-0.02636480471595569
4,-0.01586092549384844
5,-0.009072157676843958
6,-0.012774209009605495
7,0.023393423325001054
8,0.018115001182498786
9,-0.0433913322616304
10,0.058759318276203974
11,-0.020607621450254215
12,-0.003304932476735573
13,-0.002741286313706924
14,-0.024642313206503275
15,0.04385098086704195
16,-0.07643647277590361
17,0.011221552133394838
18,0.01479336376816764
19,-0.039147774581938015
20,0.05228666946028082
