fecha,brl_por_usd,uyu_por_usd,brl_por_uyu,uyu_por_brl,retorno_diario_brl_por_uyu,log_retorno_brl_por_uyu
2006-03-24,2.1547000408172607,23.034000396728516,0.09354432594015626,10.690119255760491,,
2006-03-27,2.1503000259399414,23.03700065612793,0.09334114531823627,10.713389005358902,-0.0021720250787842232,-0.002174387346478568
2006-03-28,2.1677000522613525,23.084999084472656,0.09390080737405715,10.649535695858983,0.0059958773155479594,0.005977973573273676
2006-03-29,2.220599889755249,22.985000610351562,0.09661082579024062,10.350806877183505,0.028860437859581145,0.02845181875122771
2006-03-30,2.192199945449829,22.966999053955078,0.09544999502546316,10.47668991217056,-0.012015535063304772,-0.012088305106173092
2006-03-31,2.1672000885009766,23.141000747680664,0.09365196052371187,10.677833057715953,-0.018837449926232264,-0.019017134800956903
2006-04-03,2.147900104522705,23.014999389648438,0.09332609869582599,10.715116285523301,-0.0034794981980476036,-0.0034855657306374077
2006-04-04,2.125499963760376,23.073999404907227,0.09211666891645748,10.855798540727962,-0.012959180725108377,-0.013043883489045172
2006-04-05,2.1335999965667725,23.011999130249023,0.09271684674114986,10.785526418859295,0.00651540955347274,0.006494276018735867
2006-04-06,2.129199981689453,23.121000289916992,0.09208944055149688,10.859008307698371,-0.006766906033857989,-0.006789905357388548
2006-04-07,2.135200023651123,22.889999389648438,0.09328091221429767,10.720306826574157,0.012938200684740941,0.012855217171376054
2006-04-10,2.143899917602539,22.784000396728516,0.09409672929563216,10.627361944305312,0.008745809426266016,0.008707786369120729
2006-04-11,2.13700008392334,22.78700065612793,0.09378154308994822,10.663078971102822,-0.003349597887655431,-0.0033552203494946475
2006-04-12,2.131500005722046,22.797000885009766,0.09349914124553199,10.695285397049426,-0.0030112731685953964,-0.003015816174089636
2006-04-13,2.140700101852417,22.792999267578125,0.09391919320146047,10.647450919376613,0.004492575550243849,0.004482514056133535
2006-04-18,2.127500057220459,22.90999984741211,0.0928633815534826,10.76850727672535,-0.011241702701950462,-0.011305368230755786
2006-04-19,2.114500045776367,22.92099952697754,0.09225165086224292,10.83991441511735,-0.006587426400010754,-0.006609219251894061
2006-04-20,2.118000030517578,22.923999786376953,0.09239225485319723,10.82341806235715,0.0015241352283685838,0.0015229749131067116
2006-04-21,2.118000030517578,22.92099952697754,0.0924043485985302,10.822001509308906,0.000130895661678343,0.00013088709558894962
2006-04-24,2.1147000789642334,22.929000854492188,0.09222818265759396,10.842672718734974,-0.0019064680787007626,-0.00190828770203888
2006-04-25,2.115299940109253,22.834999084472656,0.09263411538945998,10.795158951923032,0.004401395757445359,0.0043917379433433545
2006-04-26,2.1187000274658203,22.87700080871582,0.09261266567156937,10.797659183532001,-0.0002315531141030558,-0.00023157992666433813
2006-04-27,2.10260009765625,22.92099952697754,0.09173247855886622,10.901264369067317,-0.009503960460705563,-0.009549411297467447
2006-04-28,2.0936999320983887,22.871000289916992,0.09154387239553428,10.923724044349933,-0.002056045648117011,-0.0020581622116355724
2006-05-02,2.0687999725341797,22.886999130249023,0.09039192778226274,11.062934761263342,-0.012583525069753798,-0.012663368133266406
2006-05-03,2.0678999423980713,22.863000869750977,0.09044744188126319,11.056144642683995,0.0006141488555724273,0.0006139603433430452
2006-05-04,2.0625998973846436,22.672000885009766,0.0909756447102289,10.991952881292024,0.0058398868777196355,0.005822900837300526
2006-05-05,2.056999921798706,22.875,0.08992349384912376,11.12056435082281,-0.01156519268927847,-0.011632589673578497
2006-05-08,1.9471999406814575,22.98699951171875,0.08470874764184759,11.80515623047628,-0.05799092077122392,-0.05974036620511303
2006-05-09,2.056999921798706,22.858999252319336,0.0899864381241448,11.112785669107222,0.0623039606796163,0.06044009719715904
2006-05-10,2.0515999794006348,22.885000228881836,0.08964823940929784,11.154708743742326,-0.0037583298316617997,-0.0037654100987767336
2006-05-11,2.0876998901367188,22.659000396728516,0.09213556880638649,10.853571676551953,0.027745434974272065,0.02736750501928409
2006-05-12,2.1345999240875244,22.770000457763672,0.09374615200588238,10.667104500857295,0.017480580196779005,0.01732955235078526
2006-05-15,2.1642000675201416,22.76300048828125,0.09507534248985786,10.517974206684292,0.01417861379411156,0.014079037382750847
2006-05-16,2.1421000957489014,22.683000564575195,0.09443636390391362,10.589141286903763,-0.006720760285585103,-0.0067434462969555575
2006-05-17,2.183000087738037,23.042999267578125,0.09473593530029546,10.555656592508262,0.003172203841802279,0.0031671830184434313
2006-05-18,2.2019999027252197,22.714000701904297,0.0969446083771851,10.315168803501397,0.02331399452476557,0.02304637489389405
2006-05-19,2.197000026702881,22.847000122070312,0.09616142228583298,10.39918063012391,-0.008078696736851687,-0.008111506232120202
2006-05-22,2.296799898147583,22.68199920654297,0.10126091078801537,9.87547901967275,0.05303050205543469,0.051672199546586306
2006-05-23,2.249500036239624,22.950000762939453,0.0980174275145212,10.20226734528256,-0.0320309510180512,-0.0325551664089474
2006-05-24,2.3575000762939453,23.038999557495117,0.10232649514188633,9.772640005048506,0.0439622599432814,0.043023339327423304
2006-05-25,2.3575000762939453,22.93000030517578,0.10281291081194657,9.726404904818654,0.004753565236313317,0.00474230272237941
2006-05-26,2.255500078201294,23.034000396728516,0.0979204671074695,10.212369584618932,-0.04758588844377487,-0.04875534764149814
2006-05-29,2.2385001182556152,22.929000854492188,0.09762746019598383,10.243019719989988,-0.002992294870939438,-0.002996780736159277
2006-05-30,2.308500051498413,22.84000015258789,0.10107268108913949,9.893870324049933,0.03528946554831491,0.03468106447332531
2006-05-31,2.2971999645233154,23.011999130249023,0.09982617987776955,10.017412278266411,-0.012332721344065267,-0.012409400445484664
2006-06-01,2.267199993133545,22.62299919128418,0.10021659701101943,9.978387111767963,0.003910969384262941,0.0039033414255076337
2006-06-02,2.2822999954223633,22.52199935913086,0.10133647368643026,9.868115236517331,0.011174562984688885,0.011112588817839164
2006-06-05,2.2822999954223633,22.55299949645996,0.10119718203250992,9.881698086007441,-0.0013745460923709762,-0.0013754916474231216
2006-06-06,2.2669999599456787,22.77400016784668,0.09954333640281286,10.04587585806238,-0.01634280319352921,-0.016477819856524523
2006-06-07,2.256500005722046,22.725000381469727,0.09929592817793863,10.070906414289182,-0.0024854323133501888,-0.002488526127615742
2006-06-08,2.2829999923706055,22.89900016784668,0.0996986757341593,10.030223497315466,0.004056032947282073,0.0040478294206818255
2006-06-09,2.259999990463257,22.618999481201172,0.09991600169324734,10.008406892322467,0.002179827941421353,0.0021774555634528348
2006-06-12,2.2614998817443848,22.683000564575195,0.09970020832588812,10.030069312707147,-0.002159747825195457,-0.002162083444034124
2006-06-13,2.2890000343322754,22.68400001525879,0.10090813052338828,9.910004226747835,0.012115543365284198,0.012042737633854106
2006-06-14,2.2815001010894775,22.54199981689453,0.1012110779709777,9.88034136230374,0.003002210486093615,0.0029977128518399176
2006-06-15,2.258500099182129,22.673999786376953,0.09960748524568154,10.03940615038622,-0.01584404353203306,-0.015970902142973475
2006-06-16,2.246799945831299,22.715999603271484,0.09890825783901326,10.110379273160762,-0.007019827927024158,-0.007044582837252289
2006-06-19,2.2309999465942383,22.74799919128418,0.0980745571438669,10.196324399743007,-0.008429030228227496,-0.008464755397525892
2006-06-20,2.238100051879883,22.64900016784668,0.09881672635850693,10.119744266491905,0.007567398071972153,0.007538908950591949
2006-06-21,2.23799991607666,22.6200008392334,0.09893898466152784,10.107239359904684,0.0012372227610268904,0.0012364580316419627
2006-06-22,2.2304999828338623,22.732999801635742,0.09811727454787413,10.191885217032524,-0.008305220803152547,-0.008339901302405028
2006-06-23,2.244499921798706,22.878999710083008,0.09810306177020196,10.19336177643889,-0.00014485499864991258,-0.0001448654911486713
2006-06-26,2.2251999378204346,22.650999069213867,0.0982384896587108,10.179309591119411,0.0013804654621898393,0.0013795134957477195
2006-06-27,2.2269999980926514,22.67300033569336,0.0982225539240503,10.180961093449485,-0.0001622147766712212,-0.00016222793491094123
2006-06-28,2.2244999408721924,22.719999313354492,0.09790933134248217,10.213531093395456,-0.0031889069165349504,-0.0031940023155820896
2006-06-29,2.2028000354766846,22.524999618530273,0.09779356593926612,10.225621597856874,-0.001182373545286608,-0.0011830731003645845
2006-06-30,2.1614999771118164,22.60300064086914,0.09562889509473117,10.457090391030741,-0.022135104940127603,-0.022383762600656443
2006-07-03,2.1570000648498535,22.64900016784668,0.09523599491654412,10.500231565557812,-0.004108592677954048,-0.004117056134736341
2006-07-04,2.1635000705718994,22.868000030517578,0.09460818907139612,10.569909537591396,-0.006592106752264737,-0.00661393065116922
2006-07-05,2.188499927520752,22.9689998626709,0.0952805929995015,10.49531671161232,0.0071072486927949985,0.007082111235966249
2006-07-06,2.178999900817871,22.554000854492188,0.09661256620835276,10.35062041353316,0.013979480678276479,0.013882668946761711
2006-07-07,2.16729998588562,22.57200050354004,0.09601718667096944,10.414802127319021,-0.0061625475934398155,-0.006181614463885765
2006-07-10,2.1677000522613525,22.66699981689453,0.09563242024847451,10.456704927071545,-0.00400726615552105,-0.004015316761018184
2006-07-11,2.179500102996826,22.60099983215332,0.09643379138900571,10.369809022296813,0.008379701553605567,0.008344786769256984
2006-07-12,2.185499906539917,22.79800033569336,0.09586366674090362,10.431480810167203,-0.005912083719722849,-0.00592962927471552
2006-07-13,2.2039999961853027,22.645999908447266,0.09732403095891477,10.274954604193788,0.015233761316038263,0.015118892692538743
2006-07-14,2.0968000888824463,22.736000061035156,0.09222378972790081,10.843189191752183,-0.05240474711910592,-0.05382781633342537
2006-07-17,2.209700107574463,22.70800018310547,0.097309322254562,10.276507705849514,0.05514339132739687,0.053676673642433226
2006-07-18,2.1940999031066895,22.881000518798828,0.09589178153743917,10.428422373293467,-0.014567368102868183,-0.01467451403887221
2006-07-19,2.188499927520752,22.676000595092773,0.09651172473484397,10.361435387745862,0.006465029509987286,0.006444220844310955
2006-07-20,2.1812000274658203,22.79400062561035,0.09569184731069624,10.450211048315943,-0.008495106956178167,-0.008531396043216066
2006-07-21,2.1884000301361084,22.77899932861328,0.09607094668935713,10.408974143176435,0.003961668515291672,0.003953841771080047
2006-07-24,2.1865999698638916,22.777999877929688,0.09599613581447757,10.417085974508424,-0.0007787044622498129,-0.0007790078100589071
2006-07-25,2.1981000900268555,22.908000946044922,0.09595337869960925,10.421727859428385,-0.0004454045416051322,-0.0004455037636716952
2006-07-26,2.203200101852417,22.905000686645508,0.0961886066712483,10.39624166111255,0.002451481905347608,0.0024484819255121693
2006-07-27,2.1840999126434326,22.88599967956543,0.09543388723340686,10.478458218455003,-0.007846245662138651,-0.007877189415439911
2006-07-28,2.175600051879883,22.895999908447266,0.09502096700643398,10.523993088096956,-0.0043267673458903255,-0.004336154891994237
2006-07-31,2.171999931335449,22.770999908447266,0.09538447762804264,10.4838861088023,0.003825583269259525,0.0038182843347831508
2006-08-01,2.184499979019165,22.79599952697754,0.09582821654448428,10.435339778402234,0.004652108262017451,0.004641320650196956
2006-08-02,2.1744000911712646,22.83099937438965,0.0952389361286728,10.499907292632368,-0.006149341363750893,-0.006168326433821036
2006-08-03,2.1791999340057373,22.8799991607666,0.09524475585394744,10.499265718455352,6.110657585223223e-05,6.110470892162212e-05
2006-08-04,2.1689999103546143,22.836999893188477,0.09497744539559924,10.528815508090458,-0.002806563531519868,-0.002810509315406051
2006-08-07,2.175600051879883,23.006999969482422,0.09456252682947373,10.575013523097978,-0.0043686010336169145,-0.004378171253598406
